inverse_volatility,minimum_variance,minimum_variance_oas
-1.330915584553223e-05,-0.0005296814418139484,-0.0006143803909374757
0.00013463786515708067,-0.00012367340959787632,-0.000424019987740229
1.7631567397506415e-05,0.0001745745118597928,-2.8805864197413276e-05
0.00010983593310692939,-0.00014637702217046612,-0.00040327737874939996
-3.0673002061684044e-05,-0.00020945663366993416,-0.00047363725862928493
-6.832959656668944e-05,-9.018366996679472e-05,-0.00021141609764526573
0.00010475403971585526,0.00016685448579810384,-9.286181934940144e-05
6.883388651321193e-05,-0.00035906306151491335,-0.0005742008965033765
3.768633263797862e-05,-0.00018417140442058237,-0.00020346206401499292
8.57662062553505e-05,0.00022254173516390315,4.939277771380375e-05
2.6200481167229636e-05,-0.00028617561728770755,-0.00042967360989931377
8.21813836902112e-05,0.0003276721253544744,0.0001184114489750533
0.00013270144045865494,0.0005467201377946525,0.00038227860706305206
2.620122468288127e-05,7.193973571614412e-05,-0.00016240585201457273
7.615678894689102e-05,-8.216908820064977e-05,-0.00013746895519750678
0.00014083126825651605,0.0005698205742306634,0.00025976958856072525
5.015144430593464e-05,4.250983721723839e-05,-4.791129350511494e-05
7.638492859724335e-05,0.00012563511476070544,-6.312651383381398e-05
0.00014607457957220435,0.0003799078829929821,3.5118130805414025e-05
4.036970959737208e-05,-0.0005051542479416187,-0.0006243588612749397
7.380841535793061e-05,0.000621950869026549,0.00049057713649004
